Data used in the analysis.  Please note that blank fields indicate that data were not provided in the original publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,marine,,adult,,,,,enzymes: U/g tissue; metabolic rate = MR: umol/g/h; locomotion: BL/s,,,,,,acclimatization temps for terrestrial or large animals = mean body temperatures,,variation as s.e.,,,,,,,,,,,,,,,,,,,,,,
Chordata,Reptilia,Testudines,Chelidae,Elusor,macrurus,Elusor macrurus,0.030000000,30.000000000,1.477121255,in situ,"Clarke et al 2008 PBZ 81, 301-309",f,w,j,"Mary River, QLD, Austraia",25.72,25.72,152.58,1,56,1.748188027,swim,sprint,17,28,0.68,0.025,6,0.79,0.029,6,0.67,0.015,7,0.79,0.016,7,1.146036222,1.146036222,0.146036222,-0.832575666,0.832575666,6.333333333,0.023,,units in m/s,,"Clarke et al 2008 PBZ 81, 301-310",Complete
Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mossambicus,Oreochromis mossambicus,0.008990000,8.990000000,0.953759692,in situ,"Schnell and Seebacher 2008 PBZ 81, 733-747",f,w,j,"SE QLD, Australia",28,28,153,1,28,1.447158031,swim,sustained,14,22,3.5,0.08,15,2.7,0.1,15,1.95,0.05,15,4.85,0.2,15,0.722968957,1.50346083,0.50346083,-0.29717255,0.29717255,15,0.127,,,,"Schnell and Seebacher 2008 PBZ 81, 733-743",Complete
Chordata,Amphibia,Caudata,Salamandridae,Triturus,dobrogicus,Triturus dobrogicus,0.008500000,8.500000000,0.929418926,in situ,"Gvozdik et al 2007 Biol J Linn Soc 90, 627-636",f,w,a,"Fülopháza, Hungary",46.9,46.9,19.4,1,70,1.84509804,swim,sprint,15,25,2.913580247,0.185185185,8,3.481481481,0.283950617,8,3.209876543,0.12345679,8,3.456790123,0.185185185,8,1.194915254,1.186440678,0.186440678,-0.727136154,0.727136154,8,0.218,,,,"Gvozdik et al 2007 Biol J Linn Soc 90, 627-636",Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.006750000,6.750000000,0.829303773,in situ,"Wilson and Franklin 2000 Comp Biochem Physiol A 127, 21-28",f,w,a,"Sydney, Australia",33.85,33.85,151.2,1,56,1.748188027,swim,sprint,18,30,0.92,0.03,12,1,0.02,12,0.9,0.03,12,0.94,0.04,12,1.071955632,1.018083398,0.018083398,-1.719344303,1.719344303,12,0.030,,m/s,,"Wilson and Franklin 2000 Comp Biochem Physiol A 127, 21-28",Complete
Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,duboulayi,Melanotaenia duboulayi,0.004950000,4.950000000,0.694605199,in situ,http://www.sciencedirect.com/science/article/pii/S0044848611006946,f,w,a,SE Queensland,27.45,27.45,153.65,1,42,1.62324929,swim,sprint,15,25,20.5,0.7,40,28,0.6,40,21,0.5,40,26,1.2,40,1.365853659,1.268292683,0.268292683,-0.569775447,0.569775447,40,0.833,,,,"Ferris and Wilson 2012 J therm Biol 37, 236-242",Complete
Chordata,Actinopterygii,Perciformes,Percichthyidae,Macquaria,novemaculaeta,Macquaria novemaculaeta,0.003216000,3.216000000,0.507316040,in situ,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",f,c,j,"Palmers Island, NSW, Australia",29.45,29.45,153.35,1,28,1.447158031,swim,sustained,15,25,5.45,0.34,14,6.55,0.21,14,4.47,0.36,14,7.4,0.38,14,1.201834862,1.357798165,0.357798165,-0.445149787,0.445149787,14,0.310,,,,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",Complete
Chordata,Actinopterygii,Perciformes,Percichthyidae,Macquaria,novemaculaeta,Macquaria novemaculaeta,0.003216000,3.216000000,0.507316040,in situ,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",f,c,j,"Palmers Island, NSW, Australia",29.45,29.45,153.35,1,28,1.447158031,swim,sprint,15,25,23.2,1.42,14,26.3,1.7,14,16.22,0.99,14,27.95,1.69,14,1.13362069,1.204741379,0.204741379,-0.686678353,0.686678353,14,1.603,,,,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",Complete
Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,Xenopus laevis,0.003200000,3.200000000,0.505149978,in situ,"Wilson et al 2000 J Comp Physiol B 170, 117-124",f,c,a,"St Andrews, Scotland",15,15,25,1,42,1.62324929,swim,sprint,10,25,0.98,0.04,10,1.27,0.05,10,0.6,0.02,10,1.32,0.04,10,1.188643893,1.219640686,0.219640686,-0.6563144,0.6563144,10,0.043,,m/s,distribution is natural dist; animals came from breeding colony,"Wilson et al 2000 J Comp Physiol B 170, 117-125",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,guttolineata,Eurycea guttolineata,0.002280000,2.280000000,0.357934847,in situ,"Marvin 2003 J Therm Biol 28, 251-259",f,w,a,"Shelby Co, Alabama, USA",33.25,33.25,86.65,1,17,1.230448921,swim,sprint,8,18,5.1,0.9,22,7.25,1,22,4.4,0.7,22,6.8,1.3,22,1.421568627,1.333333333,0.333333333,-0.475820322,0.475820322,22,1.067,,,,"Marvin 2003 J Therm Biol 28, 251-260",Complete
Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,Gasterosteus aculeatus,0.000692625,0.692625000,-0.159501837,in situ,"Guderley et al 2001 PBZ 74, 66-81",f,w,j,":isle-Verte, Quebec, Canada",48,48,69.35,1,77,1.886490725,swim,sprint,8,23,15.1,0.632455532,10,22.8,1.170042734,10,15.4,1.011928851,10,17.5,1.359779394,10,1.316149631,1.103335015,0.103335015,-0.981569918,0.981569918,10,1.054,,STUDY CONFOUNDS TEMP AND WEIGHT,,"Guderley et al 2001 PBZ 74, 66-74",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio ,rerio,Danio  rerio,0.000600000,0.600000000,-0.221848750,in situ,"Condon et al. 2010 JEB 213, 3705-3709, http://jeb.biologists.org/content/203/4/813.short",f,c,a,"Brisbane QLD, Australia",27.5,27.5,153,1,56,1.748188027,swim,sprint,16,30,0.82,0.02,15,1.35,0.02,15,0.68,0.03,16,1.25,0.01,16,1.427766155,1.351397067,0.351397067,-0.452967715,0.452967715,15.33333333,0.017,,units in m/s,,"Condon et al. 2010 JEB 213, 3705-3709",Complete
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,rerio,Danio rerio,0.000513333,0.513333333,-0.289600534,in situ,"McClelland et al 2006 J Physiol 577.2, 739-751",f,c,a,"Ancaster, ON, Canada",43.2,43.2,80,1,21,1.322219295,swim,sustained,18,28,13.5,0.8,10,20.05,1.5,15,13.8,0.05,10,20.8,1,15,1.485185185,1.540740741,0.540740741,-0.266208503,0.266208503,13.33333333,1.100,,,,"McClelland et al 2006 J Physiol 577.2, 739-756",Complete
Chordata,Amphibia,Anura,Myobatrachidae,Limnodynastes,peronii,Limnodynastes peronii,0.000470000,0.470000000,-0.327902142,in situ,"Wilson and Franklin 1999 J Comp Physiol B 169, 445-451",f,w,j,"Sydney, Australia",33.85,33.85,151.2,1,42,1.62324929,swim,sprint,10,24,0.25,0.01,15,0.52,0.015,15,0.165,0.01,15,0.45,0.02,15,1.687283643,1.521729653,0.521729653,-0.281722863,0.281722863,15,0.015,,m/s,,"Wilson and Franklin 1999 J Comp Physiol B 169, 445-451",Complete
Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,Gambusia holbrooki,0.000236000,0.236000000,-0.627087997,in situ,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",f,w,a,"Sydney, Australia",33.35,33.35,151.2,1,28,1.447158031,swim,sustained,15,25,4.81,0.34,15,6.38,0.57,15,3.87,0.2,15,7.62,0.75,15,1.326403326,1.584199584,0.584199584,-0.232695991,0.232695991,15,0.553,,,,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",Complete
Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,Gambusia holbrooki,0.000236000,0.236000000,-0.627087997,in situ,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",f,w,a,"Sydney, Australia",33.35,33.35,151.2,1,28,1.447158031,swim,sprint,15,25,20.9,1.6,25,20.64,1.24,25,13.88,0.95,25,19.66,1.08,25,0.987559809,0.940669856,0.059330144,-1.219465641,1.219465641,25,1.307,,,,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",Complete
Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,Gambusia holbrooki,0.000236000,0.236000000,-0.627087997,in situ,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",f,w,a,"Stradbroke Is, Queensland",27.5,27.5,153.45,1,42,1.62324929,swim,sustained,18,30,0.28,0.02,13,0.32,0.03,13,0.18,0.025,13,0.33,0.03,13,1.11770353,1.146735499,0.146735499,-0.830515136,0.830515136,13,0.027,,m/s,,"Wilson et al 2007 Phil Trans B 362, 2131-2140",Complete
Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,Gambusia holbrooki,0.000236000,0.236000000,-0.627087997,in situ,"Grigatchick et al 2012 Proc. Roy Soc. B 279, 4058-4064.",f,w,a,"Stradbroke Is, Queensland",27.5,27.5,153.45,1,42,1.62324929,swim,sprint,18,30,0.69,0.07,10,0.7,0.05,13,0.64,0.04,13,0.71,0.07,13,1.01206279,1.024096892,0.024096892,-1.60038005,1.60038005,12,0.063,,,,"Wilson et al 2007 Proc Roy Soc B 362, 2131-2139",Complete
Arthropoda,Insecta,Hemiptera,Notonectidae,Enithares,sp,Enithares sp,0.000077000,0.077000000,-1.113509275,in situ,Dell database,f,w,a,SE Queensland,27.45,27.45,153.65,1,42,1.62324929,swim,sprint,15,25,50,2,80,63,3,80,52,2,80,62,1,80,1.26,1.24,0.24,-0.617982957,0.617982957,80,2.000,,cm/s,,"Ferris and Wilson 2012 J therm Biol 37, 236-244",Complete
Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,Xenopus laevis,0.000008900,0.008900000,-2.050609993,in situ,"Wilson et al 2000 J Comp Physiol B 170, 117-124",f,c,l,"St Andrews, Scotland",15,15,25,1,28,1.447158031,swim,sprint,12,30,0.22,0.01,12,0.375,0.015,12,0.16,0.01,12,0.52,0.06,12,1.344842537,1.612667422,0.612667422,-0.212066932,0.212066932,12,0.028,,m/s,,"Wilson et al 2000 J Comp Physiol B 170, 117-124",Complete
Chordata,Reptilia ,Squamata,Lacertidae,Xantusia,vigilis,Xantusia vigilis,0.001400000,1.400000000,0.146128036,in situ,"Kaufmann, J. S. and A. F. Bennett (1989). ""THE EFFECT OF TEMPERATURE AND THERMAL-ACCLIMATION ON LOCOMOTOR PERFORMANCE IN XANTUSIA-VIGILIS, THE DESERT NIGHT LIZARD."" Physiological Zoology 62(5): 1047-1058.",t,w,a,"Victorville, California",34.536111,34.536111,-117.288333,1,50,1.698970004,Sprint speed,,20,30,70,1,26,67,1,26,102,1,26,110,1,26,0.957142857,1.571428571,0.571428571,-0.242278698,0.242278698,26,1.000,,cm/s,,"Kaufmann, J. S. and A. F. Bennett (1989). ""THE EFFECT OF TEMPERATURE AND THERMAL-ACCLIMATION ON LOCOMOTOR PERFORMANCE IN XANTUSIA-VIGILIS, THE DESERT NIGHT LIZARD."" Physiological Zoology 62(5): 1047-1058.",Complete
Chordata,Amphibia,Caudata,Salamandridae,Triturus,dobrogicus,Triturus dobrogicus,0.008500000,8.500000000,0.929418926,in situ,"Gvozdik et al 2007 Biol J Linn Soc 90, 627-636",f,w,a,"Fülopháza, Hungary",46.9,46.9,19.4,1,70,1.84509804,run,sprint,15,25,0.654320988,0.049382716,8,0.925925926,0.12345679,8,0.654320988,0.037037037,8,1.185185185,0.135802469,8,1.41509434,1.811320755,0.811320755,-0.09027245,0.09027245,8,0.103,,,,"Gvozdik et al 2007 Biol J Linn Soc 90, 627-636",Complete
Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,guttolineata,Eurycea guttolineata,0.002280000,2.280000000,0.357934847,in situ,"Marvin 2003 J Therm Biol 28, 251-259",f,w,a,"Shelby Co, Alabama, USA",33.25,33.25,86.65,1,17,1.230448921,run,sprint,8,18,4.7,1,22,6.3,1,22,4.65,1.2,22,7,2.1,22,1.340425532,1.489361702,0.489361702,-0.309483456,0.309483456,22,1.367,,,,"Marvin 2003 J Therm Biol 28, 251-259",Complete
Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,domesticus,Acheta domesticus,0.000322000,0.322000000,-0.492144128,in situ,http://www.sciencedirect.com/science/article/pii/S0003347296903103,t,c,a,"Durban , South Africa",29.9,29.9,31.05,1,8,0.903089987,run,sprint,25,33,21,2.67,12,27,2.67,12,20,2.99,12,29,2.99,12,1.36908555,1.497005441,0.497005441,-0.302765912,0.302765912,12,2.777,,mm/s,,"Lachenicht et al 2010 J Insect Physiol 56, 822-830",Complete
Arthropoda,Malacaostraca,Isopoda,Porcellionidae,Porcellio,scaber,Porcellio scaber,0.000020000,0.020000000,-1.698970004,in situ,http://onlinelibrary.wiley.com/doi/10.1002/etc.5620170817/full,t,w,a,"Terre Haute, IN, USA",39.47,39.47,87.39,1,46,1.662757832,run,sprint,10,20,1.1,0.2,25,3.4,0.4,25,1.1,0.25,25,4,0.9,25,3.090909091,3.636363636,2.636363636,0.421170014,-0.421170014,25,0.500,,cm/s,,"Schuler et al 2011 PLoS ONE 6, e20905",Complete
Arthropoda,Insecta,Hymenoptera,Formicidae,Messor,capensis,Messor capensis,0.000003900,0.003900000,-2.408935393,in situ,"Clusella-Trullas et al. 2010 PBZ 83, 519-530",t,w,a,"Bartholomeus Klip Farm, W Cape Province, South Africa",33.74,33.74,19.04,1,8,0.903089987,run,,20,30,0.0139,0.001,121,0.0212,0.001,121,0.0144,0.001,121,0.023,0.001,121,1.525179856,1.654676259,0.654676259,-0.183310541,0.183310541,121,0.001,,units in m/s,,"Clusella-Trullas et al. 2010 PBZ 83, 519-531",Complete
Arthropoda,Arachnida,Acarina,Podacaridae,Podacarus,auberti,Podacarus auberti,0.000000195,0.000195000,-3.709965389,in situ,http://www.sciencedirect.com/science/article/pii/S0022191006000576,t,w,a,Marion Island,46.9,46.9,37.75,1,7,0.84509804,run,sprint,0,10,2.5,0.2,20,8.2,0.2,20,0.2,0.1,20,8.7,0.2,20,3.28,3.48,2.48,0.394626764,-0.394626764,20,0.200,,units in leg strokes/20 s,,"Deere and Chown 2006 Am Nat 168, 630-647",Complete
Arthropoda,Arachnida,Acarina,Podacaridae,Halozetes,marinus,Halozetes marinus,0.000000095,0.000095000,-4.022276395,in situ,http://www.sciencedirect.com/science/article/pii/S0022191006000576,t,w,a,Marion Island,46.9,46.9,37.75,1,7,0.84509804,run,sprint,0,10,2.05,0.1,20,8,0.2,20,0.2,0.2,20,8,0.2,20,3.902439024,3.902439024,2.902439024,0.46291271,-0.46291271,20,0.167,,units in leg strokes/20 s,,"Deere and Chown 2006 Am Nat 168, 630-644",Complete
Arthropoda,Arachnida,Acarina,Podacaridae,Halozetes,belgicae,Halozetes belgicae,0.000000033,0.000033000,-4.481486060,in situ,http://www.sciencedirect.com/science/article/pii/S0022191006000576,t,w,a,Marion Island,46.9,46.9,37.75,1,7,0.84509804,run,sprint,0,10,3.2,0.2,20,12.5,0.5,20,0.2,0.1,20,11.3,0.4,20,3.90625,3.53125,2.53125,0.40350658,-0.40350658,20,0.367,,units in leg strokes/20 s,,"Deere and Chown 2006 Am Nat 168, 630-648",Complete
Arthropoda,Arachnida,Acarina,Podacaridae,Halozetes,fulvus,Halozetes fulvus,0.000000031,0.000031000,-4.508638306,in situ,http://www.sciencedirect.com/science/article/pii/S0022191006000576,t,w,a,Marion Island,46.9,46.9,37.75,1,7,0.84509804,run,sprint,0,10,2.3,0.1,20,7.3,0.1,20,0.1,0.1,20,7.3,0.2,20,3.173913043,3.173913043,2.173913043,0.337441898,-0.337441898,20,0.133,,units in leg strokes/20 s,,"Deere and Chown 2006 Am Nat 168, 630-645",Complete
Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Macrobiotus,harmsworthi,Macrobiotus harmsworthi,0.000000001,0.000001000,-6.000000000,in situ,http://bmcecol.biomedcentral.com/articles/10.1186/1472-6785-9-15,t,w,a,"Qinling Mountains, China",33.95,33.95,107.6,1,14,1.146128036,run,sustained,10,25,3.3,0.35,25,2.65,0.3,25,2,0.35,25,4.8,0.6,25,0.863948701,1.283763031,0.283763031,-0.545516393,0.545516393,25,0.417,,mm/min,,"Li adn Wang 2005 J Therm Biol 30, 588-594",Complete
Arthropoda,Malacaostraca,Decapoda,Parastacidae,Cherax ,destructor,Cherax  destructor,0.042600000,42.600000000,1.629409599,ex situ,"Seebacher and Wilson 2006  Funct Ecol 20, 1045-1053",f,c,a,"Newcastle, Australia",32.9,32.9,151.75,1,28,1.447158031,PK,"muscle, claw",20,30,39.5,3,15,79.5,5.8,15,33.6,3.3,15,66.1,5.5,15,2.012658228,1.673417722,0.673417722,-0.171071026,0.171071026,15,4.767,,,,"Seebacher and Wilson 2006  Funct Ecol 20, 1045-1054",Complete
Arthropoda,Malacaostraca,Decapoda,Parastacidae,Cherax ,destructor,Cherax  destructor,0.042600000,42.600000000,1.629409599,ex situ,"Seebacher and Wilson 2006  Funct Ecol 20, 1045-1053",f,c,a,"Newcastle, Australia",32.9,32.9,151.75,1,28,1.447158031,PK,"muscle, tail",20,30,37.6,3.4,15,70.7,6.4,15,33,3.8,15,61.7,5.7,15,1.880319149,1.640957447,0.640957447,-0.192493759,0.192493759,15,5.167,,,,"Seebacher and Wilson 2006  Funct Ecol 20, 1045-1053",Complete
Chordata,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,borchgrevincki,Pagothenia borchgrevincki,0.090000000,90.000000000,1.954242509,in situ,"Franklin et al 2007 JEB 210, 3068-3077",m,w,a,"Scott Base, Antarctica",77.85,77.85,166.75,1,42,1.62324929,PFK,"muscle, pectoral",-1,4,3.14,0.33,10,5.29,0.59,10,2.42,0.33,10,4.71,0.47,10,2.838259159,2.25,1.25,0.09725731,-0.09725731,10,0.463,,,,"Seebacher et al. 2005 Biol Lett 1, 151-157",Complete
Arthropoda,Malacostraca,Decapoda,Cambaridae,Orconectes,virilis,Orconectes virilis,0.020000000,20.000000000,1.301029996,ex situ,"Powell and Watts 2006 Comp Biochem Physiol A 144, 211-218",f,c,a,Wisconsin,44.5,44.5,-89.5,1,14,1.146128036,PFK,muscle,5,25,0.016,0.001,5,0.105,0.001,5,0.012,0.001,5,0.073,0.001,5,2.561737691,2.136000936,1.136000936,0.055760822,-0.055760822,5,0.001,,umole/min/mg,,"Freed, J. M. and C. R. Kirk (1976). ""PHOSPHOFRUCTOKINASE ACTIVITY OF TEMPERATURE-ACCLIMATED CRAYFISH."" Comparative Biochemistry and Physiology B-Biochemistry & Molecular Biology 54(4): 515-517.",Complete
Arthropoda,Malacostraca,Decapoda,Cambaridae,Orconectes,virilis,Orconectes virilis,0.020000000,20.000000000,1.301029996,ex situ,"Powell and Watts 2006 Comp Biochem Physiol A 144, 211-219",f,c,a,Wisconsin,44.5,44.5,-89.5,1,14,1.146128036,PFK,muscle,5,15,0.016,0.001,5,0.052,0.001,5,0.015,0.001,5,0.039,0.001,5,3.25,2.4375,1.4375,0.157909866,-0.157909866,5,0.001,,umole/min/mg,,"Freed, J. M. and C. R. Kirk (1976). ""PHOSPHOFRUCTOKINASE ACTIVITY OF TEMPERATURE-ACCLIMATED CRAYFISH."" Comparative Biochemistry and Physiology B-Biochemistry & Molecular Biology 54(4): 515-517.",Complete
Arthropoda,Malacostraca,Decapoda,Cambaridae,Orconectes,virilis,Orconectes virilis,0.020000000,20.000000000,1.301029996,ex situ,"Powell and Watts 2006 Comp Biochem Physiol A 144, 211-220",f,c,a,Wisconsin,44.5,44.5,-89.5,1,14,1.146128036,PFK,muscle,15,25,0.039,0.001,5,0.09,0.001,5,0.036,0.001,5,0.073,0.001,5,2.307692308,1.871794872,0.871794872,-0.059087814,0.059087814,5,0.001,,umole/min/mg,,"Freed, J. M. and C. R. Kirk (1976). ""PHOSPHOFRUCTOKINASE ACTIVITY OF TEMPERATURE-ACCLIMATED CRAYFISH."" Comparative Biochemistry and Physiology B-Biochemistry & Molecular Biology 54(4): 515-517.",Complete
